,Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
count,2000,2000,2000,2000,2000,2000.0,2000.0,2000.0
unique,1946,303,16,4,46,,,
top,TAMAN MAWAR,Ipoh,Selangor,Freehold,Terrace House,,,
freq,4,67,545,1318,956,,,
mean,,,,,,490685.4105,328.8625,28.0915
std,,,,,,468632.20929329493,193.28173868476168,37.702385371237995
min,,,,,,27049.0,38.0,10.0
25%,,,,,,269950.0,201.0,12.0
50%,,,,,,390000.0,293.0,16.0
75%,,,,,,573500.0,412.0,28.0
max,,,,,,11420500.0,3017.0,593.0
