,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
Area,1.0,0.9200011717963762,0.36598520927456785,0.11531318668446243,0.638111490203216,0.8141586035298242,0.5131492959252635
State,0.9200011717963762,1.0,0.26742740326956815,0.177025741966053,0.3341441156529904,0.5541708271010622,0.19449304066495074
Tenure,0.36598520927456785,0.26742740326956815,1.0,0.12284082085845449,0.1490603352205435,0.14666929056967717,0.07438248387708254
Type,0.11531318668446243,0.177025741966053,0.12284082085845449,1.0,0.39290779563812395,0.5139388023729408,0.24752642021605817
Median_Price,0.638111490203216,0.3341441156529904,0.1490603352205435,0.39290779563812395,1.0,0.7466472938016919,0.00899990396531634
Median_PSF,0.8141586035298242,0.5541708271010622,0.14666929056967717,0.5139388023729408,0.7466472938016919,1.0,-0.01153037262283143
Transactions,0.5131492959252635,0.19449304066495074,0.07438248387708254,0.24752642021605817,0.00899990396531634,-0.01153037262283143,1.0
